host_id,host_active_years,host_listings_count,host_response_rate_clean,host_acceptance_rate_clean,cluster
3631,16.0,1,1.0,1.0,0.0
7903,16.0,1,1.0,0.92,0.0
2626,16.0,1,1.0,0.68,0.0
22155,16.0,1,,,
33534,15.0,1,1.0,0.78,0.0
41718,15.0,1,1.0,1.0,0.0
42666,15.0,1,1.0,1.0,0.0
44444,15.0,1,1.0,1.0,0.0
517155,14.0,1,,,
529347,14.0,1,1.0,1.0,0.0
546512,14.0,1,1.0,0.95,0.0
561870,14.0,2,1.0,0.71,0.0
564058,14.0,1,1.0,0.75,0.0
433758,14.0,2,1.0,0.5,0.0
570314,14.0,2,1.0,0.88,0.0
162708,14.0,1,,,
64055,15.0,1,1.0,1.0,0.0
67192,15.0,1,,,
69389,15.0,1,,,
72713,15.0,1,0.83,0.71,0.0
79843,15.0,9,0.54,0.51,3.0
84874,15.0,1,1.0,0.93,0.0
89023,15.0,1,1.0,1.0,0.0
91706,15.0,1,,0.5,
47196,15.0,1,,,
48733,15.0,1,,0.71,
49798,15.0,2,1.0,1.0,0.0
58645,15.0,1,,,
64627,15.0,3,1.0,0.96,0.0
727223,13.0,27,1.0,1.0,0.0
89209,15.0,1,1.0,1.0,0.0
98012,15.0,3,1.0,0.69,0.0
108444,15.0,1,,,
107514,15.0,1,1.0,0.29,0.0
114407,15.0,1,,,
77087,15.0,1,1.0,0.63,0.0
120508,15.0,1,1.0,0.64,0.0
126361,15.0,1,1.0,0.36,0.0
2883,16.0,2,0.67,0.73,0.0
581233,14.0,2,,1.0,
379042,14.0,2,1.0,0.82,0.0
584977,14.0,1,1.0,0.73,0.0
606427,14.0,1,1.0,0.92,0.0
612215,14.0,1,,1.0,
624523,14.0,1,1.0,0.67,0.0
641777,14.0,1,,1.0,
670637,14.0,1,0.9,0.84,0.0
676353,14.0,1,1.0,1.0,0.0
731088,13.0,2,1.0,0.56,0.0
137719,15.0,1,1.0,1.0,0.0
726311,13.0,10,0.99,0.0,0.0
152242,14.0,75,0.99,0.42,0.0
4450132,12.0,1,,1.0,
630305,14.0,1,1.0,0.33,0.0
683627,14.0,1,,,
700490,14.0,1,,,
551556,14.0,1,,0.0,
726311,13.0,10,0.99,0.0,0.0
1487400,13.0,1,1.0,1.0,0.0
1487808,13.0,1,,,
773449,13.0,1,,,
135024,15.0,2,1.0,1.0,0.0
138401,15.0,1,,0.92,
146066,15.0,1,,,
150876,14.0,1,0.97,0.82,0.0
155516,14.0,1,1.0,0.4,0.0
156936,14.0,1,,,
72723,15.0,1,,,
146581,15.0,2,1.0,1.0,0.0
153645,14.0,2,1.0,0.93,0.0
774630,13.0,1,1.0,0.5,0.0
777568,13.0,1,0.46,0.16,3.0
726311,13.0,10,0.99,0.0,0.0
783873,13.0,1,0.0,0.07,3.0
788732,13.0,1,1.0,0.9,0.0
793032,13.0,1,,,
